species	origin	irr	gap.pos	transect	obs	photo	cond	trmmol	WUE
POTR	s	1200	C	B3-6	1	10.30044329	0.177198011	2.683413056	0.066034564
POTR	s	1200	C	B3-6	2	14.70014776	0.228494575	3.28589959	0.069537905
POTR	s	1200	C	B3-6	3	16.40004925	0.198164858	3.098157006	0.063962174
POTR	s	1200	C	B3-6	4	17.33334975	0.232054953	3.661290431	0.063380646
POTR	s	1200	C	B3-6	5	17.87778325	0.239637365	3.743287286	0.064017893
POTR	s	1200	C	B3-6	6	19.12592775	0.216736265	3.599191	0.06021805
POTR	s	50	NE	B3-6	1	10.46421992	0.252406548	2.341654602	0.107789828
POTR	s	50	NE	B3-6	4	6.444739973	0.272992659	2.111980105	0.129259105
POTR	s	50	NU	B3-6	1	5.174913324	0.22814041	2.35542194	0.096857555
POTR	s	50	NU	B3-6	2	4.754971108	0.260618232	2.625140647	0.099277817
POTR	s	50	NU	B3-6	3	4.754990369	0.26258703	2.626475454	0.099976959
POTR	s	50	NU	B3-6	4	4.64499679	0.280100438	2.672634675	0.104803115
POTR	s	50	NU	B3-6	5	4.41499893	0.246795384	2.482306796	0.09942179
POTR	s	50	NU	B3-6	6	4.584999643	0.242265128	2.496007027	0.097061076
POTR	s	1200	NU	B3-6	1	14.29499988	0.223612186	2.594859485	0.086175065
POTR	s	1200	NU	B3-6	2	16.89833329	0.259394538	2.836381733	0.091452619
POTR	s	1200	NU	B3-6	3	15.93277776	0.285321989	3.014032006	0.094664552
POTR	s	1200	NU	B3-6	4	16.04425925	0.321393044	3.247534478	0.098965245
POTR	s	1200	NU	B3-6	5	16.21475308	0.270273872	2.848225778	0.094892011
POTR	s	1200	NU	B3-6	6	19.77158436	0.262377005	2.889408593	0.090806474
POTR	s	50	SE	B3-6	1	5.090311406	0.262891037	2.423276203	0.108485791
POTR	s	50	SE	B3-6	2	3.243437135	0.246487488	2.296330163	0.107339743
POTR	s	50	SE	B3-6	3	2.451145712	0.232162496	2.219729102	0.104590464
POTR	s	50	SE	B3-6	4	2.613715237	0.247673213	2.285623986	0.108361312
POTR	s	50	SE	B3-6	5	2.401238412	0.210843452	2.033303234	0.103695036
POTR	s	50	SE	B3-6	6	2.127079471	0.236852579	2.172053459	0.109045465
POTR	s	1200	SE	B3-6	1	15.17569316	0.321808003	2.626874962	0.122506022
POTR	s	1200	SE	B3-6	2	15.45856439	0.278126477	2.407053559	0.115546443
POTR	s	1200	SE	B3-6	3	15.5528548	0.247280254	2.193779758	0.112718815
POTR	s	1200	SE	B3-6	4	15.98428493	0.252426751	2.254117062	0.111984757
POTR	s	1200	SE	B3-6	5	16.82809498	0.212427965	1.99708664	0.106368928
POTR	s	1200	SE	B3-6	6	16.17603166	0.251952179	2.199981261	0.114524693
POTR	s	50	SU	B3-6	1	7.355343886	0.249412631	1.990469944	0.12530339
POTR	s	50	SU	B3-6	1	8.093861454	0.173744716	2.060279055	0.084330671
POTR	s	50	SU	B3-6	2	4.625114629	0.227137544	1.766347124	0.12859168
POTR	s	50	SU	B3-6	2	4.251287151	0.173343477	1.983902542	0.087374996
POTR	s	50	SU	B3-6	3	3.298371543	0.112112515	0.959068089	0.116897346
POTR	s	50	SU	B3-6	3	2.897095717	0.145781159	1.778443704	0.081971197
POTR	s	50	SU	B3-6	4	3.626123848	0.142227981	1.233975077	0.115260011
POTR	s	50	SU	B3-6	5	3.505374616	0.173980756	1.451325026	0.119877183
POTR	s	50	SU	B3-6	6	3.188458205	0.206279299	1.660917866	0.124195966
POTR	s	1200	SU	B3-6	1	8.529486068	0.243045481	1.98506786	0.122436863
POTR	s	1200	SU	B3-6	2	9.709828689	0.251586589	2.027403572	0.124092999
POTR	s	1200	SU	B3-6	3	6.306609563	0.121347911	1.137515477	0.10667803
POTR	s	1200	SU	B3-6	4	8.902203188	0.151306446	1.462028968	0.103490731
POTR	s	1200	SU	B3-6	5	8.327401063	0.214435482	1.881628704	0.113962697
POTR	s	1200	SU	B3-6	6	10.54246702	0.234621351	1.901495282	0.123387817
